dataset,rep,M,S,MS,K_star,rf_acc,rf_rmin,rf_rmaj,Kstar_acc,Kstar_rmin,Kstar_rmaj,K0_acc,K0_rmin,K0_rmaj,K10_acc,K10_rmin,K10_rmaj,K20_acc,K20_rmin,K20_rmaj,K30_acc,K30_rmin,K30_rmaj
heart-disease,23,0.114094,0.046418,0.005296,0,0.830769,0.437500,0.959184,0.830769,0.437500,0.959184,0.830769,0.437500,0.959184,0.830769,0.437500,0.959184,0.830769,0.437500,0.959184,0.830769,0.437500,0.959184
heart-disease,24,0.134228,0.122044,0.016382,0,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184
heart-disease,25,0.140940,0.106576,0.015021,0,0.800000,0.312500,0.959184,0.800000,0.312500,0.959184,0.800000,0.312500,0.959184,0.800000,0.312500,0.959184,0.800000,0.312500,0.959184,0.800000,0.312500,0.959184
heart-disease,26,0.147651,0.084420,0.012465,0,0.753846,0.312500,0.897959,0.769231,0.375000,0.897959,0.769231,0.375000,0.897959,0.769231,0.375000,0.897959,0.769231,0.375000,0.897959,0.769231,0.375000,0.897959
heart-disease,27,0.114094,0.242039,0.027615,30,0.815385,0.375000,0.959184,0.815385,0.375000,0.959184,0.815385,0.375000,0.959184,0.815385,0.375000,0.959184,0.815385,0.375000,0.959184,0.815385,0.375000,0.959184
heart-disease,28,0.127517,0.135907,0.017330,0,0.800000,0.250000,0.979592,0.800000,0.250000,0.979592,0.800000,0.250000,0.979592,0.800000,0.250000,0.979592,0.800000,0.250000,0.979592,0.800000,0.250000,0.979592
heart-disease,29,0.161074,0.043250,0.006966,0,0.800000,0.250000,0.979592,0.800000,0.250000,0.979592,0.800000,0.250000,0.979592,0.800000,0.250000,0.979592,0.800000,0.250000,0.979592,0.800000,0.250000,0.979592
parkinsons,0,0.080882,0.105924,0.008567,0,0.932203,0.800000,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273
parkinsons,1,0.080882,0.237114,0.019178,0,0.881356,0.733333,0.931818,0.881356,0.733333,0.931818,0.881356,0.733333,0.931818,0.881356,0.733333,0.931818,0.881356,0.733333,0.931818,0.881356,0.733333,0.931818
parkinsons,2,0.088235,0.154254,0.013611,0,0.932203,0.733333,1.000000,0.932203,0.733333,1.000000,0.932203,0.733333,1.000000,0.932203,0.733333,1.000000,0.932203,0.733333,1.000000,0.932203,0.733333,1.000000
parkinsons,3,0.073529,0.198230,0.014576,0,0.932203,0.800000,0.977273,0.932203,0.800000,0.977273,0.932203,0.800000,0.977273,0.932203,0.800000,0.977273,0.932203,0.800000,0.977273,0.932203,0.800000,0.977273
parkinsons,4,0.095588,0.365471,0.034935,0,0.932203,0.933333,0.931818,0.932203,0.933333,0.931818,0.932203,0.933333,0.931818,0.932203,0.933333,0.931818,0.932203,0.933333,0.931818,0.932203,0.933333,0.931818
parkinsons,5,0.073529,0.204934,0.015069,0,0.864407,0.533333,0.977273,0.864407,0.600000,0.954545,0.864407,0.600000,0.954545,0.864407,0.600000,0.954545,0.847458,0.600000,0.931818,0.847458,0.600000,0.931818
parkinsons,6,0.110294,0.283599,0.031279,30,0.915254,0.666667,1.000000,0.932203,0.733333,1.000000,0.932203,0.733333,1.000000,0.932203,0.733333,1.000000,0.932203,0.733333,1.000000,0.932203,0.733333,1.000000
parkinsons,7,0.073529,0.235863,0.017343,0,0.847458,0.400000,1.000000,0.847458,0.400000,1.000000,0.847458,0.400000,1.000000,0.847458,0.400000,1.000000,0.847458,0.400000,1.000000,0.847458,0.400000,1.000000
parkinsons,8,0.058824,0.182525,0.010737,0,0.932203,0.733333,1.000000,0.915254,0.666667,1.000000,0.915254,0.666667,1.000000,0.915254,0.666667,1.000000,0.915254,0.666667,1.000000,0.915254,0.666667,1.000000
parkinsons,9,0.029412,0.320192,0.009417,0,0.881356,0.533333,1.000000,0.881356,0.533333,1.000000,0.881356,0.533333,1.000000,0.881356,0.533333,1.000000,0.881356,0.533333,1.000000,0.881356,0.533333,1.000000
parkinsons,10,0.051471,0.209322,0.010774,0,0.864407,0.600000,0.954545,0.864407,0.600000,0.954545,0.864407,0.600000,0.954545,0.864407,0.600000,0.954545,0.864407,0.600000,0.954545,0.864407,0.600000,0.954545
parkinsons,11,0.095588,0.252504,0.024136,30,0.932203,0.800000,0.977273,0.932203,0.866667,0.954545,0.932203,0.866667,0.954545,0.932203,0.866667,0.954545,0.932203,0.866667,0.954545,0.932203,0.866667,0.954545
parkinsons,12,0.110294,0.149130,0.016448,0,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273
parkinsons,13,0.080882,0.268160,0.021689,0,0.847458,0.533333,0.954545,0.830508,0.466667,0.954545,0.830508,0.466667,0.954545,0.830508,0.466667,0.954545,0.847458,0.533333,0.954545,0.847458,0.533333,0.954545
