dataset,rep,M,S,MS,rf_acc,rf_rmin,rf_rmaj,K0_alpha,K0_acc,K0_rmin,K0_rmaj,K10_alpha,K10_acc,K10_rmin,K10_rmaj,K20_alpha,K20_acc,K20_rmin,K20_rmaj,K30_alpha,K30_acc,K30_rmin,K30_rmaj
parkinsons,7,0.073529,0.235863,0.017343,0.847458,0.400000,1.000000,1.000000,0.847458,0.400000,1.000000,1.173429,0.847458,0.400000,1.000000,1.346857,0.847458,0.400000,1.000000,1.520286,0.847458,0.400000,1.000000
parkinsons,8,0.058824,0.182525,0.010737,0.932203,0.733333,1.000000,1.000000,0.915254,0.666667,1.000000,1.107367,0.915254,0.666667,1.000000,1.214735,0.915254,0.666667,1.000000,1.322102,0.915254,0.666667,1.000000
parkinsons,9,0.029412,0.320192,0.009417,0.881356,0.533333,1.000000,1.000000,0.881356,0.533333,1.000000,1.094174,0.881356,0.533333,1.000000,1.188348,0.881356,0.533333,1.000000,1.282523,0.881356,0.533333,1.000000
parkinsons,10,0.051471,0.209322,0.010774,0.864407,0.600000,0.954545,1.000000,0.864407,0.600000,0.954545,1.107739,0.864407,0.600000,0.954545,1.215479,0.864407,0.600000,0.954545,1.323218,0.864407,0.600000,0.954545
parkinsons,11,0.095588,0.252504,0.024136,0.932203,0.800000,0.977273,1.000000,0.932203,0.866667,0.954545,1.241364,0.932203,0.866667,0.954545,1.482728,0.932203,0.866667,0.954545,1.724093,0.932203,0.866667,0.954545
parkinsons,12,0.110294,0.149130,0.016448,0.915254,0.733333,0.977273,1.000000,0.915254,0.733333,0.977273,1.164481,0.915254,0.733333,0.977273,1.328963,0.915254,0.733333,0.977273,1.493444,0.915254,0.733333,0.977273
parkinsons,13,0.080882,0.268160,0.021689,0.847458,0.533333,0.954545,1.000000,0.830508,0.466667,0.954545,1.216894,0.830508,0.466667,0.954545,1.433788,0.847458,0.533333,0.954545,1.650682,0.847458,0.533333,0.954545
parkinsons,14,0.088235,0.165470,0.014600,0.966102,0.866667,1.000000,1.000000,0.966102,0.866667,1.000000,1.146003,0.966102,0.866667,1.000000,1.292006,0.949153,0.800000,1.000000,1.438009,0.949153,0.800000,1.000000
parkinsons,15,0.088235,0.159827,0.014102,0.864407,0.666667,0.931818,1.000000,0.881356,0.733333,0.931818,1.141024,0.898305,0.800000,0.931818,1.282047,0.898305,0.800000,0.931818,1.423071,0.898305,0.800000,0.931818
parkinsons,16,0.058824,0.132474,0.007793,0.881356,0.600000,0.977273,1.000000,0.881356,0.600000,0.977273,1.077926,0.881356,0.600000,0.977273,1.155852,0.881356,0.600000,0.977273,1.233777,0.881356,0.600000,0.977273
parkinsons,17,0.102941,0.132082,0.013597,0.915254,0.800000,0.954545,1.000000,0.915254,0.800000,0.954545,1.135967,0.915254,0.800000,0.954545,1.271934,0.915254,0.800000,0.954545,1.407901,0.915254,0.800000,0.954545
parkinsons,18,0.066176,0.178298,0.011799,0.915254,0.733333,0.977273,1.000000,0.949153,0.866667,0.977273,1.117991,0.949153,0.866667,0.977273,1.235983,0.949153,0.866667,0.977273,1.353974,0.949153,0.866667,0.977273
parkinsons,19,0.110294,0.041452,0.004572,0.915254,0.733333,0.977273,1.000000,0.915254,0.733333,0.977273,1.045719,0.915254,0.733333,0.977273,1.091438,0.915254,0.733333,0.977273,1.137157,0.915254,0.733333,0.977273
parkinsons,20,0.095588,0.198963,0.019018,0.881356,0.600000,0.977273,1.000000,0.881356,0.600000,0.977273,1.190185,0.881356,0.600000,0.977273,1.380370,0.898305,0.666667,0.977273,1.570555,0.898305,0.666667,0.977273
parkinsons,21,0.088235,0.076087,0.006714,0.932203,0.800000,0.977273,1.000000,0.932203,0.800000,0.977273,1.067136,0.932203,0.800000,0.977273,1.134271,0.932203,0.800000,0.977273,1.201407,0.932203,0.800000,0.977273
parkinsons,22,0.058824,0.208060,0.012239,0.898305,0.733333,0.954545,1.000000,0.898305,0.733333,0.954545,1.122388,0.898305,0.733333,0.954545,1.244776,0.915254,0.800000,0.954545,1.367164,0.915254,0.800000,0.954545
